Herkunftsort;Anzahl;Anzahl Prozent;Entfernung in km
Duisburg;21335;6,768202929;23,3
Köln;14879;4,720135523;34,2
Essen;13288;4,21541507;26,4
Krefeld;10680;3,388066898;20,2
Mönchengladbach;9879;3,133961881;28,8
Wuppertal;9513;3,017853971;25,1
Mülheim an der Ruhr;6019;1,90943583;20,4
Solingen;5904;1,872953836;19,6
Oberhausen;5127;1,626462452;31
Bochum;3649;1,157589524;38,9
Dortmund;3441;1,0916047;55,8
Leverkusen;3216;1,020226886;24,9
Ratingen;12710;4,032053397;9,9
Hilden;7664;2,431286958;11,5
Erkrath;6979;2,213981169;8,4
Langenfeld (Rheinland);5249;1,665165089;17,2
Monheim am Rhein;4618;1,464989975;16,5
Neuss;18516;5,87391823;10,3
Meerbusch;9407;2,984227089;11,1
Kaarst;5624;1,784128112;14
Grevenbroich;4246;1,346978656;21,6
Dormagen;3810;1,208664315;14,6
Willich;4351;1,380288303;20,6
Viersen;2480;0,786742126;31,5
Tönisvorst;1242;0,394005533;26,6
Kempen;1106;0,35086161;30,5
Nettetal;845;0,268063345;40,1
allen sonstigen Orten;119447;37,89273659;x
